,comment,Label
0,"biri bana bu filmde benim anlamadigim bisey oldugunu söylesin lütfen.. uzun zamandir bilim kurgu vb tür filmleri izliyorum basit olanlari,mantiksiz olanlari,hatali olanlari gördüm ama böylesine rastlamadim saçma filmler kategorisinde kesin bi ödül alir film.kisaca:bu ne ya? diyorsunuz.. . 
",0
1,"ya çocuklar ilk filmin sonunda büyüdüler ya bu filmde büyük mü kalcaklar dolaba girince gene büyücekler mi anlamadim ben o olayi oyuncular ayni ya. 
",1
2,"film biraz daha uzun sürse harbi kiyameti görecektik.. 
",0
3,"pek orjinal bi cinayet yok ama orjinal oyuncular var iki dev isim, ama artik oyunculuk yerine biri senarist biri yönetmen olsa daha iyi olcak gibi bi izlenim var, ya da godfatherda ki gibi olacak her filmleri, sonuç olarak izlenebilir bi film ama izlerken unutabilirsiniz. 
",0
4,"film tek kelimeyle muhtesemdi heleki sonundaki sasirticiligi filmin ne kadar zekice ortaya kondugunu gösteriyodu oyunculuklar ztn ayri bir harikaydi izledigim en ii filmlerden biriydi . 
",1
5,"bi timsah filmi diyemicem ama yinede o kadar kötü degildi kendi dalina göre iyi. 
",1
6,"berbat,berbat,berbat.. tüm zamanlarin en büyük bütçeli filmi ama hiç olmamis hiç.. film bi kere kopuk kopuktu.. bi oraya bi buraya, film bittiginde sanki toplam 5 dakikada is özetlenmis anlatilmis gibiydi.. hiç birseyin üstünde adam gibi durulmamis, bi konusma yapilmamis.. hiç tavsiye etmem.. 
",0
7,"beklentileri karsilamiyor. hayal kirikligina ugramiyim diyorsunuz ama kaçis yok. filmin modern afisine kapilipta gitmeyin.. 
",0
8,"yine nolan,yine siradisi,usta isi bir film.... 
",1
9,"bence 3-4 filmlik bir seri olmali kademe kademe anlatilmali olay en sonunda da malum ates kralina karsi savasmali. çizgi filmi çok güzeldi umarim çizgifilme yakisir bir film çekebilirler. 
",0
10,"iki panter bir salona sigmaz.. 
",0
11,"tam bir aksiyon filmi. izlemeye deger.ama film’in türü aksiyon, dram yerineaksiyon, komedi olmali. çünkü türü sadece komedi olan misalkorkunç bir film’den daha çok güldüm bu filme.insani yere serecek kadar komik sahneler var.. 
",1
12,"bunun türkü amerikani yok arkadasim tek fark bizimkiler çakma. amerikadada absürt filmler çikinca elestiriliyo zohan elestirilmedimi mesela butür konulaei memleket meselesi haline getirmeyin bi sey kötüyse bunu söylemenin nesi yanlis. bu filmde kötü bi film iste.. 
",0
13,"çok güzel ve eglenceli bir film.puani az bile olmus diyebilirim.gerçekten standartlarin üstünde. 8.5 diyip 9 veriyorum. 
",1
14,"iste tek kelimeyle mükemmel bir film.filmde insanoglunun eksikliklerinden bazilari çok güzel dile getirilmis.fazla söze de gerek yok zaten.gidin,alin, ne yapin edin izleyin.. 
",1
15,"ilk 2 seriyi izle 3.seriyi direk çöpe at.. . 
",0
