,comment,Label
0,"arkadaslar film bence cok güzel su anda gidilebilecek en iyi film izlemenizi tavsiye ederim.. 
",1
1,"mükemmel bir film ve sonu enfes. mutlaka izleyin, pisman olmazsiniz. rejimler ne olursa olsun, olan insana ve insanin duygularina oluyor.. 
",1
2,"epey bi uzak durun diyorum..bu ne ya iyice cilkini çikarmislar..adam yaratigi yaratik kadini ...nasil bir duyguyla yazmislarsa senaryoyu artik..... 
",0
3,"sürükleyici bir aksiyon, özellikle sonu çok sasirtici ve acikliydi.. 
",1
4,"hayatimda izledigim en berbat filmdi gerçekten tamamen zaman kaybi...oyunculuk,müzik,görüntüler hersey çok kötüydü...kimseye tavsiye etmem.... 
",0
5,"son zamanlarda gösterimde olan en ii filmdi bence.konusu siradan olabilir ama will smith'in oyunculukta mükemmel derecedeki basarisi ve vampir animasyonlar siradanliktan uzaklastirmis.kesinlikle sinemada izlenmesi gerek,çünkü ilk 60 dk temposu düsük bir film.. 
",1
6,"gerek kurgusu gerek seneryosu,soundtrack ve oyunculariyla izledigim en iyi filmlerden tarantinonun ise en iyi filmi diyebilirim.tek kelimeyle mükemmel.son sahnesindeki müzik ile de (surf rider) beni benden almistir.. 
",1
7,"dahi yönetmen christopher nolan'in zirveye çiktigi filmdir. filmdeki kurgu oyunculuk senaryo hersey ama hersey dört dörtlük. mutlaka ama mutlaka izleyiniz. 10. 
",1
8,"çok sükür ki artik tekrar vizyona izlenmeye deger filmler girio bunlardan biri süper arkadaslar mutlaka izleyin. 
",1
9,"ben bu filmu uzlemek istiyorum ama bulamiyorum bana yardim edermisiniz lutfn cildircam ya bu film gibisi varmi ya ama izliyemiorum yrd yrd solerseniz sevinirim arkadaslar. 
",0
10,"ilk bakista orta yaslilar tarzi gibi görünsede genç ve genç kalanlarin filmi bence.film daha ilk sahnesinde basliyor insani güldürmeye bizde o yaslarda böyle çilginlik yaparmiyiz acaba. 
",1
11,"arkadaslar inanilmaz bi film bence ozellikle konusu geregi biran bile duragan sahnesi yok ozellikle muzikleri costurucu senaryo oyunculuk cok saglam beklentilerinizi rahatlikla karsilayan zevk alarak izliyeceginiz bifilm siddetle tavsiye ediyorum .5. 
",1
12,"sanirim 6-7 defa izledim en az bir o kadar daha izleyecegimede eminim.. film her açidan mükemmel.. izlemeyenlere kesinlikle tavsiye ediyorum... 
",1
13,"sicak bir film .yarisirken illada kazanmak gerekmedigi bazen katilmanin bile yeterli oldunu anlatan tatli bir filmdi,hele dede mazhar alonson a benzemyiosa ben neolayim adami resmen mazhar diye seyrettim 
",1
14,"kesinlikle berbat bir filmdi. 'sonu gelse' dedim tüm film boyunca. zaman doldurmak için bile izlenebilecek bir film degil bence.... 
",0
15,"bir film bu kadar sikici ve anlasilmaz olabilir sizi içinize çekemiyor ve en sonunda sizi filmden kopariyor para verip izlenilcek bir film degil. 
",0
16,"liv tyler hatirina dahi olsa izlenmiyecek ,bosuna vakit kaybedilmeyecek filmlerden birisi.manasiz,anlamsiz bir film.(:( 
",0
17,"insana kendini film süresinde bi iskoç gibi hissettiren mel gibson filmin konusu, müzigi ve oyuncugu ile insni kendisiyle beraber savas meydanlarina çikariyor adeda tek kelimeyle mükemmel bir film.insanin mücadele gücünü kalmadigi durumlarda kendini hirslandirmasi için sik sik izlenmeli bence.. 
",1
18,"son yillarda izledigim en güzel, en romantik, insnain içini kabartan en hos filmdi. oyunculuklar güzeldi, robin williams’i anlatmaya kelimeler yetmez bence. her filiminde ayri bir oyuncluk dersi veriyor. böyle güzel bir filmin bu kadar az ilgi görmesi üzücü. herkes izlemeli bence.. 
",1
19,"çok güzel bir filim. kurgusu mükemmel. mutlaka izleyin.... 
",1
20,"gerçekten mükemmel bir film.. izlenilmesi kesinlikle tavsiye edilir. klasik vampir filmlerinin çok disinda.. adeta sizi farkli bir dünyaya götürüyor.. anlatilanlarin hepsinin gerçekdisi oldugunu biliyorsunuz fakat yine de anlatilanlar hosunuza gidiyor... . 
",1
