text,label
edit: bu adam dururken başkan gene melih olursa kafayı çizerim yeminle. yüzde 51 i hakediyorsun yürüyedur be başkanım.,0
ahah kuduruyoruz ya amk çomarı biz bu ülkeden siktirip gidicez zaten solcular olarak tek kazancımız turizmdi onuda bok ettiniz siz açlıktan öleceksiniz burda,1
Sınıf gruplarındaki insanlar beyinsiz felan heralde amk,1
"boğaziçi köprüsünde duran tanklar ( eğer ses topu diye birşey yoksa ) rastgele istanbul'un herhangi bir kaç yerine top attı. anasının amı. ne cesaret aq. emri verenin de, onu uygulayanında gelmişini geçmişini sikim.",0
"Sevişirler evlenmezler, hamile kalır doğurmazlar kusura bakmayın bizim literatürde size başka bişey diyorlar. Siz kadın filan değilsiniz bee! İyiki azınlıksınız koduğumun anarşistleri!",1
abi 5 lirayi su karttan 3 lirayi su karttan alir misjn 2 lirayi da soyle nakit vereyim,0
Bu amına koduğumun havaları ne zaman serinleyecek sikicem artık yazınızı ama ha,1
"birininde çıkıp ""ulan madem genelkurmay başkanını rehinelikten kurtardınız, çıksın konuşsun. nerede ulan bu adam?"" demediği el koyma.",0
Sözde balık yemek hafızaya iyi geliyor bu trabzonluların hepsi beyinsiz amk bunlarda ters etki yaratıyor...,1
kadınlar ve çocuklar bu rezil dünya için fazla güzeller.,0
"tsk'nın whatsappı es geçtiği için yapamadığı darbedir. kanallara mail atmak yerine facetime aramalarını ve whatsapp konuşmalarını halletse gerçekleşecekti, olmadı.",0
Bi tanesinin aklına da havuz kenarında çorapla poz veren insanı linclerler tabi amına koyıyım demek gelmiyor mu bunların,1
Eski sevgilim arkamdan orospu diyormuş. Onunla beraberken de aynı anneme benziyorsun diyordu...,1
corona virüs ilk türkiyede ortaya çıksaydı başka hiçbir ülkeye yayılmazdı çünkü tc vatandaşları yurtdışına çıkamıyor,0
"güvenilir, nazik, iyi eğitimli, sanattan anlayan, god tier Edward Cullen mi abarti",0
"bir taraf darbe yapmaya çalışıyor, bir taraf halka meydanlara çıkın diyor.",0
"HIV'den HPV'den, coronadan korktukları kadar korkmuyor koduğumun ibneleri",1
"bilgisayarınızda chrome'u açıp ayarlar kısmına geldiğinizde çıkışın altında ''kuruluşunuz tarafından yönetiliyor'' yazısı varsa geçmiş olsun. pc, trojan yuvası haline gelmiş. iyi bi tarama yapıp chrome'u silip tekrardan yükleyin.",0
NİYE BU KODUĞUMUN YERİNDE BARIŞIN SAKATLIĞI  İNANILMADIĞI GİBİ BU KADAR OLAY EDİLİYOR,1
bugun rimeli silmeden uyicam.. bilen bilir bu kadinlar arasinda bir yardim cigligidir,0
huysuzbal muzlu kek sevmediği için muzlu kek alırsanız orta kantin'de güvenle yemek yiyebilirsiniz,0
saadet seçmeni istanbul'da ne yapmak nereye varmak istemektedir? millet ittifakına verseydin ya saadet. %1.6 oy az değildi...,0
muazzam bir insan. keşke cumhurbaşkanı olsa. imamson'dan kat kat daha iyi olduğunu düşünüyorum. allah sağlık sıhhat versin kendisine.,0
"sahte gülüşü, demokrat, modern, akıllı, araştırmacı, beyefendi, parlak, eleştiriye açık gibi görünmesi, kısacası her konuda gibi görünmesi ve fakat hiçbiri olmaması nedeniyle sevmiyorum.",0
"kadinin neyi ne zaman en iyi bilecegini de siz bilecektiniz cunku. bunun da otoritesi olun, eksik olmasin, sagolun bu kadim tespiti paylastiginiz icin.",0
"maçka hazırlık fak.de çalı$anların(çalı$tıklarından $üphe duyulmaktadır) devamlı masa tenisi oynadıkları,maslak fak.de köpeklerin insanlara saldırdığı(son kurban zavallı bir kız),hala anlam veremediğim bi elektronik geçis sistemi bulunan teknik okul..",0
"devamının msn deyken kıçını kaşıyan insanlar, msn de sohbet eden insanlar, msn e bakan insanlar gibi zırvalıklar gelmesini beklediğim gariplik. msn bir süs eşyasıdır kurcalanmamalı,değişikliğe uğramamalı ve asla kişislleştirilmemelidir. siz ne zannetmiştiniz...",0
piyasanın düşeceğini söyleyen ile doların düşeceğini söyleyen kişi aynı güruhtan sanırım.,0
"Şu kırmızı alandaki iki rakip oyuncunun birbirine top sektirerek gol atması hakikaten büyük dikkatsizlik Norwich tarafından. Hatta daha ağır şekilde ""sakarlık"".",0
atatürk üniversitesi bugün ve yarın yapılacak olan açıköğretim fakültesi bütünleme sınavlarını ileri bir tarihe ertelendiğini açıklamıştır.,0
"Ya şu sokağa çıkan, selaya şükreden, Allahüekber diye slogan atarak, darbeye hayır diyen, beyinsiz amk çomarları beni bi takipten çıksın",1
"1 adet ağaç ortalama olarak atmosferden yılda 21 kilogram karbondioksit emerken 1 adet balinanın 33 ton emmesi. ağaçların eninde sonunda tuttukları karbondioksidi atmosfere geri verirken, balinaların atmosfere karışmasını sağlamadan okyanusun dibine götürmesi.",0
eğer herhangi bir kana d-antikoru döktüğünüzde kan parçacıkları birbirine yapışıp gruplanıyorsa çökelme olmuş demektir. eğer bir kana anti-d döktüğünüzde çökelme gerçekleşirse o kan rh+'tir. eğer çökelme olmuyorsa rh-'tir.,0
çıkıp da 'hayırdır başkanım daha dün iftarlıyorduk?' demediği sürece şahsiyetli biri olduğunu kimse söylemesin.,0
biri size gay misin derse hayr babani siktim diyin,1
Arda'nin amk.. Hain pic.. Hain hocasinida alsin acun ridvan birlikte kutlasinlar.. Muzu unutmasinlar.. Reklamci ibneler :)),1
Satılmış medya Ahmet ağaoğlunu konuştukları kadar bu piçi konuşacaklar mı var mı öyle yüreğiniz göreceğiz,1
"yukarıda bazı arkadaşlar da bahsetmiş. ben de merak ediyorum neden sıcak coğrafyalarda daha çok tüketiliyor. tayland'da ortalık sıcaktan kavruluyor, insanlar yemeklere avuç avuç acı döküyor. ",0
Ancak bu kadar vatan hayini terörist bir partide toplanabilirdi bir millet bu kadar kandırılabilirdi.,1
"valla güzel iş. yazarların ürettiği içeriği kullan, verilerini topla, moderasyonun işini de onlara yaptır... çıkarken çöpleri de atalım mı?",0
Hakem olmanın ilk şartı beyinsiz olmak heralde amk,1
"Bugün biraz üzgünüm arkadaşlar evimde ki papağanım sabah uyandigimizda rahmetli olmuş,insan üzülüyor ölen her bir cana",0
A... koduğumun bedevileri kendi kızlarını 30 yaşına kadar evlendirmezler millete çocuk yaşta evlenebilirsiniz fetvası verirler.,1
hem kültürel hem siyasi olarak gayet farklı noktalara odaklısınız hem de kızın ailesinde rıza sorunu var. bence konuyu ilişki terapistine taşıyın. zira siyasi ve kültürel görüş ayrılıkları ileride size ciddi sorun çıkarabilir ama bunu biz bilemeyiz uzmanları bilir.,0
aman allahım neler yaziyorum ben delirdik heralde. ben yazdiklarima inanamiyorum bu adamlar bunu yapiyor.,0
çünkü sadece dişi arıların iğneleri vardır. üzücü olan ise bal arılarının herhangi birini ya da bir şeyi soktuktan sonra ölmeleri...,0
"sende yap o zaman, senide övsün millet boş kafasını siktiğimin beyinsizi",1
